nro,Jerga,tipo,descripción corta,Descripción,fuente
1,Pe,Jerga,Pues,"""Pe"", por su parte, no es otra cosa que la versión peruana del ""pues"" o el ""po"" chileno. Generalmente va al final de la frase en casos como ""¿Qué pasa, pe?"" o ""Nos vemos el sábado / Ya, pe"".",https://www.bbc.com/mundo/noticias-50213086
2,Oe,Jerga,Oye,"""Oe"" es el ""oye"" u ""oíme"" que en otros países hispanohablantes usan al interactuar con otra persona: ""¡Oe! ¿Y qué quieres hacer?"" o ""Pero hazme caso, oe"".",https://www.bbc.com/mundo/noticias-50213086
3,Lechero,Jerga,mucha suerte,Dicese de aquella persona que tiene mucha suerte / tambien se le dice a aquella persona que le gusta tener mucho sexo,https://www.bbc.com/mundo/noticias-50213086
4,Lenteja,Jerga,muy lento,Persona u objeto lento.,https://www.bbc.com/mundo/noticias-50213086
5,Tirarse la pera,expresión,ausentarse,Faltar injustificadamente al centro de trabajo o estudios,https://www.bbc.com/mundo/noticias-50213086
6,que piña,Jerga,mala suerte,"Ser desafortunado, tener mala suerte.",https://www.bbc.com/mundo/noticias-50213086
7,que palta,expresión,vergüenza,que vergüenza,https://www.bbc.com/mundo/noticias-50213086
8,Estar chihuan,expresión,no tener dinero,Tener poco dinero.,https://www.bbc.com/mundo/noticias-50213086
9,misio,Jerga,sin dinero,"(Adj) pobre, sin solvencia económica",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
10,estar aguja,expresión,no tener dinero,Estar sin dinero o ajustado económicamente.,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
11,asu mare,Jerga,guau,expresión de asombro,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
12,está en algodón,expresión,es aceptable,"Aceptable , bueno",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
13,pasa piola,Jerga,aceptable,"Aceptable , bueno",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
14,quedarse jato,expresión,quedarse dormido,quedarse dormido,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
15,jatito,Jerga,casita,descripción de casa pequeña,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
16,piñata,Jerga,mala suerte,"Ser desafortunado, tener mala suerte.",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
17,estar salado,expresión,desafortunado,estar con mala suerte,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
18,nola,Jerga,no lo hago,no lo hago,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
19,sila,Jerga,si lo hago,si lo hago,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
20,yala,Jerga,lo tengo,referencia de tener un objeto repetido,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
21,pan con mango,expresión,mezcla poco común,una mezcla rara de elementos que usualmente no van juntos,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
22,cicatriz,Jerga,si,Palabra innecesariamente larga para decir sí. ¡Nos encanta jugar con las palabras! Al punto que cualquier palabra que empiece con este sonido,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
23,cintura,Jerga,si,afirmación,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
24,clarinete,Jerga,por supuesto,"Es una forma de decir ""claro!"" es una afirmación positiva.",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
25,clarin,Jerga,por supuesto,"Es una forma de decir ""claro!"" es una afirmación positiva.",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
26,Manyas,Jerga,entiendes,"Entender, comprender, captar algo",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
27,latear,Jerga,caminar,Caminar,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
28,tirar lata,Jerga,caminar,caminar,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
29,papayita,Jerga,muy fácil,Cosa muy fácil de hacer.,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
30,mondongo,Jerga,grasa en la cintura,grasa en la cintura,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
31,rollitos,Jerga,grasa en la cintura,grasa en la cintura,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
32,Johnny Pacheco,expresión,Yo,expresión utilizada para referirse a uno mismo,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
33,este pechito,Jerga,Yo,expresión utilizada para referirse a uno mismo,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
34,Tumbes,Jerga,Tú,expresión utilizada para referirse a la segunda persona,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
35,Tunas,Jerga,Tú,expresión utilizada para referirse a la segunda persona,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
36,chevere,Jerga,excelente,Primoroso; gracioso; bonito; elegante; agradable.,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
37,chela,Jerga,cerveza,Cerveza.,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
38,chilindrina,Jerga,cerveza,cerveza.,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
39,elena,Jerga,frío,que esta frío,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
40,bien elena,Jerga,bien frío,que esta bien frío,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
41,ACHORADO,Jerga,desafiante,Persona que reacciona violentamente ante alguna situación. ,https://limabywalking.com/blog/es/tips/diccionario-de-jergas-peruanas/
42,ASADO,Jerga,molesto,Molesto.,https://limabywalking.com/blog/es/tips/diccionario-de-jergas-peruanas/
43,BAMBA,Jerga,FALSE,"Objeto que no es original. Puede referirse a billetes, monedas o prendas de vestir made in Gamarra.",https://limabywalking.com/blog/es/tips/diccionario-de-jergas-peruanas/
44,BRODER,Jerga,amigo,Del inglés «brother» es una forma casual de decir «amigo».,https://limabywalking.com/blog/es/tips/diccionario-de-jergas-peruanas/
45,CHIHUÁN,Jerga,sin dinero,Tener poco dinero.,https://limabywalking.com/blog/es/tips/diccionario-de-jergas-peruanas/
46,JATO,Jerga,casa,"Casa, vivienda./ Quedarse dormido.",https://limabywalking.com/blog/es/tips/diccionario-de-jergas-peruanas/
47,ROCHE,Jerga,vergüenza,Situación incómoda o vergonzosa. / Vergüenza. Se puede usar la frase «Qué roche».,https://limabywalking.com/blog/es/tips/diccionario-de-jergas-peruanas/
48,Lisuras,Jerga,Groserías,Groserías,https://jergozo.com/diccionario-peruano
49,ganpi,Jerga,pene,Modo vulgar de definir al órgano genital masculino.,https://jergozo.com/diccionario-peruano
50,gapin,Jerga,pene,Modo vulgar de definir al órgano genital masculino.,https://jergozo.com/diccionario-peruano
51,Pituco/a,Jerga,Persona con dinero,"Persona con mucho dinero, una forma informal de decir a una persona que tiene dinero",https://jergozo.com/diccionario-peruano
52,bambaren,Jerga,FALSE,de dudosa procedencia,
53,Rubias,Jerga,Cervezas,Cervezas,https://jergozo.com/diccionario-peruano
54,ditroi,Jerga,sexo,tener sexo,https://jergozo.com/diccionario-peruano
55,a forro,Jerga,mucho,mucho,https://jergozo.com/diccionario-peruano
56,la firme,Jerga,verdad,"1) afirmación, 2) alusión a la pareja sentimental formal",https://jergozo.com/diccionario-peruano
57,pique,Jerga,velocidad,ir a velocidad,https://jergozo.com/diccionario-peruano
58,achicar,Jerga,orinar,Orinar,https://jergozo.com/diccionario-peruano
59,agarrada,Jerga,musculosa,musculosa,https://jergozo.com/diccionario-peruano
60,aguirre,Jerga,amante,amante,https://jergozo.com/diccionario-peruano
61,ahorita,Jerga,en un momento,en un momento,https://jergozo.com/diccionario-peruano
62,ahuevar,Jerga,atontar,atontar,https://jergozo.com/diccionario-peruano
63,ahuevonado,Jerga,tonto,tonto,https://jergozo.com/diccionario-peruano
64,al polo,Jerga,frío,bien frío,https://jergozo.com/diccionario-peruano
65,al tiro,Jerga,rápido,rápido,https://jergozo.com/diccionario-peruano
66,ala,Jerga,guau,expresión de asombro,https://jergozo.com/diccionario-peruano
67,aldair,Jerga,travieso,travieso,https://jergozo.com/diccionario-peruano
68,amagar,Jerga,despistar,despistar,https://jergozo.com/diccionario-peruano
69,amarrete,Jerga,tacaño,tacaño,https://jergozo.com/diccionario-peruano
70,argolla,Jerga,favoritismo,"Conjunto de personas que monopolizan el gobierno, las decisiones o el dominio en una institución, empresa o en cualquier otro tipo de agrupación.",https://www.asale.org/damer
71,amauta,Jerga,sabio,"Persona experimentada, generalmente anciana, que en las comunidades andinas dispone de la autoridad moral y de ciertas facultades de gobierno.",https://www.asale.org/damer
72,amelcocharse,Jerga,acaramelarse,Mostrarse dos personas muy cariñosas y melosas entre sí,https://www.asale.org/damer
73,amigazo,Jerga,amigo,amigo,https://jergozo.com/diccionario-peruano
74,ampayar,Jerga,descubrir,Descubrir de algo o de alguien que trataba de ocultarse.,https://www.asale.org/damer
75,Anda,Jerga,no te creo,no te creo,https://jergozo.com/diccionario-peruano
76,anís,Jerga,ano,ano,https://jergozo.com/diccionario-peruano
77,anormal,Jerga,ano,ano,https://jergozo.com/diccionario-peruano
78,anticucho,Jerga,viejo,muy antiguo,https://jergozo.com/diccionario-peruano
79,añartu,Jerga,año,referencia a un año calendario,https://jergozo.com/diccionario-peruano
80,apagao,Jerga,desanimado,desanimado,https://jergozo.com/diccionario-peruano
81,apagate,Jerga,tranquilizate,tranquilizate,https://jergozo.com/diccionario-peruano
82,apantayado,Jerga,grande,grande,https://jergozo.com/diccionario-peruano
83,apañar,Jerga,encubrir,encubrir,https://jergozo.com/diccionario-peruano
84,aparato,Jerga,genitales,genitales,https://jergozo.com/diccionario-peruano
85,apurimac,Jerga,apurado,apurado,https://jergozo.com/diccionario-peruano
86,aquisito,Jerga,cerca de aqui,cerca de aqui,https://jergozo.com/diccionario-peruano
87,nomas,Jerga,nada mas,nada mas,https://jergozo.com/diccionario-peruano
88,argollero,Jerga,recomendador sesgado,"personas que monopoliza el gobierno, las decisiones o el dominio en una institución, empresa o en cualquier otro tipo de agrupación.",https://www.asale.org/damer
89,arranchar,Jerga,arrebatar,arrebatar un objeto,https://jergozo.com/diccionario-peruano
90,arrebatado,Jerga,iracundo,iracundo,https://jergozo.com/diccionario-peruano
91,arrecha,Jerga,exitada,exitada,https://jergozo.com/diccionario-peruano
92,arrechar,Jerga,exitar,exitar,https://jergozo.com/diccionario-peruano
93,arrechera,Jerga,exitación sexual,exitación sexual,https://jergozo.com/diccionario-peruano
94,arriola,Jerga,exitado,exitado,https://jergozo.com/diccionario-peruano
95,arroz,Jerga,menospreciar,menospreciar,https://jergozo.com/diccionario-peruano
96,arruga,Jerga,deuda,deuda de dinero,https://jergozo.com/diccionario-peruano
97,arrugar,Jerga,acobardarse,acobardarse ante algo o alguien,https://jergozo.com/diccionario-peruano
98,arrugarse,Jerga,atemorizarse,acobardarse ante algo o alguien,https://jergozo.com/diccionario-peruano
99,asada,Jerga,enojada,enojada,https://jergozo.com/diccionario-peruano
100,asarse,Jerga,enojarse,enojarse,https://jergozo.com/diccionario-peruano
101,asterisco,Jerga,ano,ano,https://jergozo.com/diccionario-peruano
102,atarantar,Jerga,aturdir,aturdir,https://jergozo.com/diccionario-peruano
103,atracada,Jerga,comer,comer,https://jergozo.com/diccionario-peruano
104,atracadera,Jerga,tráfico,tráfico,https://jergozo.com/diccionario-peruano
105,atrasar,Jerga,anticipar,"Perjudicar a alguien trabajando secretamente en contra de su prestigio, posición o sentimentalmente",https://www.asale.org/damer
106,awebao,Jerga,tonto,tonto,https://jergozo.com/diccionario-peruano
107,ayahuasca,Jerga,bebida alucinogena,bebida alucinogena,https://jergozo.com/diccionario-peruano
108,ayayero,Jerga,adulador,adulador,https://jergozo.com/diccionario-peruano
109,babosa,Jerga,tonta,tonta,https://jergozo.com/diccionario-peruano
110,babosada,Jerga,tontería,tontería,https://jergozo.com/diccionario-peruano
111,babosería,Jerga,tontería,tontería,https://jergozo.com/diccionario-peruano
112,baboso,Jerga,tonto,tonto,https://jergozo.com/diccionario-peruano
113,bacilar,Jerga,mentir,mentir,https://jergozo.com/diccionario-peruano
114,bagre,Jerga,feo,feo,https://jergozo.com/diccionario-peruano
115,bagrero,Jerga,de gustos feos,de gustos feos,https://jergozo.com/diccionario-peruano
116,bajadito,Jerga,provinciano,provinciano,https://jergozo.com/diccionario-peruano
117,bajar pepa,expresión,desestresarse,desestresarse,https://jergozo.com/diccionario-peruano
118,bajativo,Jerga,bebida,bebida,https://jergozo.com/diccionario-peruano
119,bajetón,Jerga,persona baja,Persona de baja estatura.,https://jergozo.com/diccionario-peruano
120,bambear,Jerga,adulterar,adulterar,https://jergozo.com/diccionario-peruano
121,barriada,Jerga,turba,turba de personas fanaticas del fútbol,https://jergozo.com/diccionario-peruano
122,basadre,Jerga,vaso,vaso,https://jergozo.com/diccionario-peruano
123,basurear,Jerga,humillar,humillar,https://jergozo.com/diccionario-peruano
124,batacazo,Jerga,triunfo,triunfo,https://jergozo.com/diccionario-peruano
125,bataclana,Jerga,bailarina,bailarina,https://jergozo.com/diccionario-peruano
126,batán,Jerga,caderas,caderas,https://jergozo.com/diccionario-peruano
127,batida,Jerga,operativo,operativo,https://jergozo.com/diccionario-peruano
128,batuta,Jerga,mando,hace referencia a quien manda,https://jergozo.com/diccionario-peruano
129,bayli,Jerga,bisexual,bisexual,https://jergozo.com/diccionario-peruano
130,belga,Jerga,verga,aparato reproductor masculino,https://jergozo.com/diccionario-peruano
131,bemba,Jerga,labio,labio,https://jergozo.com/diccionario-peruano
132,bembón,Jerga,boca grande,boca grande,https://jergozo.com/diccionario-peruano
133,bembona,Jerga,boca grande,boca grande,https://jergozo.com/diccionario-peruano
134,berraca,Jerga,maleducada,mal educada,https://jergozo.com/diccionario-peruano
135,berraco,Jerga,maleducado,mal educado,https://jergozo.com/diccionario-peruano
136,bestia,Jerga,torpe,adjetivo despectivo hacia una persona que no hace bien algo,https://jergozo.com/diccionario-peruano
137,bestial,Jerga,genial,expresión de aprobación o satisfación ante algo,https://jergozo.com/diccionario-peruano
138,bestialidad,Jerga,error grande,error grande,https://jergozo.com/diccionario-peruano
139,bi,Jerga,bisexual,bisexual,https://jergozo.com/diccionario-peruano
140,bibidí,Jerga,astuto,astuto,https://jergozo.com/diccionario-peruano
141,bica,Jerga,desaprobar un curso,desaprobar un curso,https://jergozo.com/diccionario-peruano
142,bichota,Jerga,mujer empoderada,mujer empoderada,https://jergozo.com/diccionario-peruano
143,bicicleta,Jerga,diarrea,diarrea,https://jergozo.com/diccionario-peruano
144,billetón,Jerga,adinerado,adinerado,https://jergozo.com/diccionario-peruano
145,bisnes,Jerga,negocio,negocio,https://jergozo.com/diccionario-peruano
146,bistec,Jerga,observar,observar,https://jergozo.com/diccionario-peruano
147,blancona,Jerga,persona blanca,persona de color blanco,https://jergozo.com/diccionario-peruano
148,blanquiñoso,Jerga,persona blanca,persona de color blanco,https://jergozo.com/diccionario-peruano
149,blogoyop,Jerga,felación,felación,https://jergozo.com/diccionario-peruano
150,boca de caramelo,expresión,malcriado,hace referencia a las personas que hablan gorserías,https://jergozo.com/diccionario-peruano
151,boca suelta,Jerga,malcriado,hace referencia a las personas que hablan gorserías,https://jergozo.com/diccionario-peruano
152,boga,Jerga,abogado,abogado,https://jergozo.com/diccionario-peruano
153,bola,Jerga,testículo,testículo,https://jergozo.com/diccionario-peruano
154,bolero,Jerga,embarazo,embarazo,https://jergozo.com/diccionario-peruano
155,bollo,Jerga,homosexual,homosexual,https://jergozo.com/diccionario-peruano
156,bolsiquear,Jerga,robar,robar,https://jergozo.com/diccionario-peruano
157,bostear,Jerga,excretar,excretar,https://jergozo.com/diccionario-peruano
158,boyo,Jerga,homosexual,homosexual,https://jergozo.com/diccionario-peruano
159,brazo de santo,Jerga,pene,pene,https://jergozo.com/diccionario-peruano
160,breva,Jerga,tabaco,tabaco,https://jergozo.com/diccionario-peruano
161,brevete,Jerga,licencia de conducir,licencia de conducir,https://jergozo.com/diccionario-peruano
162,brichera,Jerga,que le gustan los extranjeros,que le gustan los extranjeros,https://jergozo.com/diccionario-peruano
163,brichero,Jerga,que le gustan los extranjeras,que le gustan los extranjeras,https://jergozo.com/diccionario-peruano
164,brincar,Jerga,tener sexo,tener sexo,https://jergozo.com/diccionario-peruano
165,brinchi,Jerga,homosexual,Hombre homosexual,https://www.asale.org/damer
166,brito,Jerga,homosexual,Hombre homosexual,https://www.asale.org/damer
167,bronca,Jerga,pelea,pelea,https://jergozo.com/diccionario-peruano
168,brother,Jerga,amigo,amigo,https://jergozo.com/diccionario-peruano
169,brulo,Jerga,gay,gay,https://jergozo.com/diccionario-peruano
170,buchisapa,Jerga,gordo,gordo,https://jergozo.com/diccionario-peruano
171,buitre,Jerga,vómito,vómito,https://jergozo.com/diccionario-peruano
172,buitrear,Jerga,vomitar,vomitar,https://jergozo.com/diccionario-peruano
173,burrier,Jerga,transportador de droga,transportador de droga,https://jergozo.com/diccionario-peruano
174,burro,Jerga,torpe,torpe,https://jergozo.com/diccionario-peruano
175,cabecear,Jerga,Dormitar,mostrar signos de sueño,https://jergozo.com/diccionario-peruano
176,cabellos de ángel,Jerga,Fideos,Fideos finos.,https://jergozo.com/diccionario-peruano
177,cabeza de chancho,Jerga,Feo,"Feo , mostrito/terco",https://jergozo.com/diccionario-peruano
178,cabeza de pollo,Jerga,beodo,Dícese de la persona que se embriaga muy rápido.,https://jergozo.com/diccionario-peruano
179,cabezón,Jerga,Pene grando,"Pija, pene.",https://jergozo.com/diccionario-peruano
180,cabrear,Jerga,esquivar,"En los juegos o deportes, esquivar con engaño.",https://jergozo.com/diccionario-peruano
181,cabrearse,Jerga,avergonzarse,"Evitar una situación embarazosa,hacerse el loco.",https://jergozo.com/diccionario-peruano
182,cabrejo,Jerga,homosexual,Cabro,https://jergozo.com/diccionario-peruano
183,cabrinchi,Jerga,homosexual,"Homosexual , gay",https://jergozo.com/diccionario-peruano
184,cabrón,Jerga,homosexual,Hombre que mantiene relaciones sexuales con travestis de forma seguida.,https://jergozo.com/diccionario-peruano
185,cacanero,Jerga,homosexual,Hombre que mantiene relaciones sexuales con travestis de forma seguida.,https://jergozo.com/diccionario-peruano
186,cacaseno,Jerga,despreciable,"Palabra del lexico criollo para llamar a una persona de mal habito ""caca"" como querer decirle basofia",https://jergozo.com/diccionario-peruano
187,cacha,Jerga,tiene sexo,que tiene relaciones sexuales,https://jergozo.com/diccionario-peruano
188,cachable,Jerga,deseable para el sexo,Persona apatecible que merece ser ajusticiada con un buen cache. (Sexo),https://jergozo.com/diccionario-peruano
189,cachada,Jerga,que ya tuvo relaciones sexuales,Mujer que ya fue ajusticiada en pasado,https://jergozo.com/diccionario-peruano
190,cachadasa,Jerga,ucha experiencia sexual,Esta mas cachada que una actora de pagina,https://jergozo.com/diccionario-peruano
191,cachalote,Jerga,obeso,Persona obesa.,https://jergozo.com/diccionario-peruano
192,cachanga,Jerga,tortilla de harina,"Es una tortilla hecha de harina con agua nada mas ,no lleva sal ni nada se extiende de una manera grande y se fríe en aceite bien caliente. Generalmente se come con café bien pasado y caliente en época invernal",https://jergozo.com/diccionario-peruano
193,cachaputas,Jerga,promiscuo,Persona que requiere los servicios de las damas de la noche,https://jergozo.com/diccionario-peruano
194,cacharpari,Jerga,agasajo,Convite de despedida. Baile con este motivo.,https://jergozo.com/diccionario-peruano
195,cacharrero,Jerga,mujeriego,"Persona que le gusta sacar plan o gilear con alguien, Que siempre esta depende de todo porque le gusta esa persona.",https://jergozo.com/diccionario-peruano
196,cachasiento,Jerga,burlon,Burlón,https://jergozo.com/diccionario-peruano
197,caché,Jerga,fornicar,"Cojer, fornicar, follar, tener sexo",https://jergozo.com/diccionario-peruano
198,cachera,Jerga,Fornicadora,Fornicadora,https://jergozo.com/diccionario-peruano
199,cacherito,Jerga,promiscuo,"Que suele tener relaciones sexuales muy frecuente , promiscuo",https://jergozo.com/diccionario-peruano
200,cachero,Jerga,mujeriego,Persona que busca sexo a cada momento,https://jergozo.com/diccionario-peruano
201,cachetada,Jerga,bofetada,"Cachetazo, bofetada.",https://jergozo.com/diccionario-peruano
202,cachimba,Jerga,estudiante de universidad,"(Fem)recién ingresado a la universidad. Quien aprobó el examen de admisión a alguna universidad. Proviene de la expresión cachimbo, significa lo mismo para un varón.",https://jergozo.com/diccionario-peruano
203,cachimbo,Jerga,estudiante de universidad,Se le dice a los jovenes ingresantes a una universidad (nacional de preferencia) y se les corta el cabello,https://jergozo.com/diccionario-peruano
204,cachita,Jerga,burla,"Burla , mofa",https://jergozo.com/diccionario-peruano
205,cachivachería,Jerga,tienda de objetos usados,Lugar o tienda en donde se venden cachivaches.,https://jergozo.com/diccionario-peruano
206,cacho,Jerga,que tiene relaciones sexuales,"Cuando un hombre y una mujer tienen relaciones sexuales, pero dicho de forma vulgar, muchos piensan que es un palabra obsceno",https://jergozo.com/diccionario-peruano
207,cachondo,Jerga,exitado,"Que para caliente, encendido, activo a nivel sexual. Cualquier evento lo relaciona con el sexo o morbo.",https://jergozo.com/diccionario-peruano
208,cachoso,Jerga,burlon,Bromista,https://jergozo.com/diccionario-peruano
209,cachubis,Jerga,exitado,Perro,https://jergozo.com/diccionario-peruano
210,cachudo,Jerga,que su pareja le es infiel,Persona cuya pareja le es infiel.,https://jergozo.com/diccionario-peruano
211,cachuelero,Jerga,Obrero eventual.,Obrero eventual.,https://jergozo.com/diccionario-peruano
212,caer,Jerga,declararse,Declaración de amor,https://jergozo.com/diccionario-peruano
213,caer gordo,Jerga,antipatia,Resultarle antipático (algo o alguien) a alguien,https://jergozo.com/diccionario-peruano
214,cafetear,Jerga,Reprender.,Reprender.,https://jergozo.com/diccionario-peruano
215,caficho,Jerga,proxeneta,"Proxeneta. persona que vive de una mujer , vividor",https://jergozo.com/diccionario-peruano
216,cagada,Jerga,error,"Cosa mal hecha o que no sirve para nada, palabra muy despectiva",https://jergozo.com/diccionario-peruano
217,cagado,Jerga,en mala situación,"Persona que cayo en desgracia, también se dice de aquella persona que es mala.",https://jergozo.com/diccionario-peruano
218,cagar,Jerga,traicionar,"Traicionar a alguien, Echar a perder algo, Defecar",https://jergozo.com/diccionario-peruano
219,caído del palto,expresión,tonto,"Tonto, poco despierto, aburrido",https://jergozo.com/diccionario-peruano
220,calamina,Jerga,techo,"Chapa de zinc para techos. Rodada, surco.",https://jergozo.com/diccionario-peruano
221,calata,Jerga,desnuda,"En cueros, pilucha desnuda. Se usa en el Perú y en el norte de Chile. Del aymara q'alata, 'desnudar'.",https://jergozo.com/diccionario-peruano
222,calatear,Jerga,desnudar,Desnudar.,https://jergozo.com/diccionario-peruano
223,calatearse,Jerga,desnudarse,Desnudarse,https://jergozo.com/diccionario-peruano
224,caldero,Jerga,calor estomacal,Calor estomacal generado por ingesta de bebidas alcoholicas,https://jergozo.com/diccionario-peruano
225,calderón,Jerga,caldo,"Sopa , consomé, caldo",https://jergozo.com/diccionario-peruano
226,caldo,Jerga,caldo,Sopa,https://jergozo.com/diccionario-peruano
227,calentao,Jerga,Relacion extraoficial,Relacion extraoficial,https://jergozo.com/diccionario-peruano
228,caliche,Jerga,desmonte,"Barrera, montón de tierra que queda después de haber sacado el salitre.",https://jergozo.com/diccionario-peruano
229,calichin,Jerga,novato,"Novato, pricipiante en cualquier materia",https://jergozo.com/diccionario-peruano
230,calientito,Jerga,bebida,En la sierra es una bebida a base de aguardiene de caña con limon y hierbas o te,https://jergozo.com/diccionario-peruano
231,callampa,Jerga,hacer sonar la oreja,"Es hacer sonar la oreja, al golpearla contra la cabeza, produciendo un sonido similar al de una palmada. Se usa básicamente en Cusco.",https://jergozo.com/diccionario-peruano
232,callejón,Jerga,calle,Casa de vecindad.,https://jergozo.com/diccionario-peruano
233,callejonera,Jerga,escandalosa,"Escándalosa, de bocabulario soez",https://jergozo.com/diccionario-peruano
234,calzon,Jerga,mujer,Mujer,https://jergozo.com/diccionario-peruano
235,camal,Jerga,matadero,Matadero principal.,https://jergozo.com/diccionario-peruano
236,camalero,Jerga,comercia con carne,Matarife. Traficante en carnes.,https://jergozo.com/diccionario-peruano
237,camanchaca,Jerga,niebla,"Niebla costera, espesa y baja.",https://jergozo.com/diccionario-peruano
238,camarón,Jerga,vive de los demas,Persona que participa en una reunión o fiesta sin colaborar económicamente como está acordado hacerlo.,https://jergozo.com/diccionario-peruano
239,cambiar de bando,expresión,decidir ser homosexual,Acepto decir su preferencia sexual,https://jergozo.com/diccionario-peruano
240,cambullón,Jerga,engaño,Enredo; trampa.,https://jergozo.com/diccionario-peruano
241,camote,Jerga,enamorado,Camote es la batata. Tubérculo comestible de mucho uso en el Perú. También lo usamos como expresión de cariño.,https://jergozo.com/diccionario-peruano
242,camotudo,Jerga,enamoradizo,"Referido a persona, enamoradiza",https://jergozo.com/diccionario-peruano
243,campana,Jerga,vigia,"Vigía, el que hace la guardia.",https://jergozo.com/diccionario-peruano
244,campeonar,Jerga,ganar,Ganar un campeonato,https://jergozo.com/diccionario-peruano
245,camungo,Jerga,zancudo,"Chajá, ave zancuda.",https://jergozo.com/diccionario-peruano
246,cana al aire,Jerga,infidelidad,Infidelidad del momento,https://jergozo.com/diccionario-peruano
247,canaca,Jerga,oriental,"Despectivamente, chino. Dueño de un burdel.",https://jergozo.com/diccionario-peruano
248,canceroso,Jerga,cigarro,(M) Cigarrillo,https://jergozo.com/diccionario-peruano
249,cancha blanca,Jerga,maiz,Rosetas de maíz.,https://jergozo.com/diccionario-peruano
250,canchita,Jerga,maiz,Palomitas de maíz.,https://jergozo.com/diccionario-peruano
251,candelejón,Jerga,inocente,Cándido; inocentón.,https://jergozo.com/diccionario-peruano
252,candelero,Jerga,cizañero,Persona que suele meter o sembrar cizaña,https://jergozo.com/diccionario-peruano
253,canero,Jerga,expresidiario,"Ex presidiario de amplia trayectoria , persona que ha vivído mucho en prisión",https://jergozo.com/diccionario-peruano
254,canevo,Jerga,delincuente,Delincuente contumaz y genético.,https://jergozo.com/diccionario-peruano
255,cangallero,Jerga,vendedor,Vendedor de objetos a bajo precio.,https://jergozo.com/diccionario-peruano
256,canguro,Jerga,bolso,Bolsa que se ciñe a la cintura por medio de un cinturón regulable que sirve para guardar cosas.,https://jergozo.com/diccionario-peruano
257,canillita,Jerga,vendedor de periodicos,Vendedor callejero de periódicos.,https://jergozo.com/diccionario-peruano
