nro,Jerga,tipo,descripción corta,Descripción,fuente
809,ganya,Jerga,marihuana,Se le dice a la marihuana,https://jergozo.com/diccionario-peruano
810,ganzo,Jerga,tonto,"Pelmazo, sonso, opa",https://jergozo.com/diccionario-peruano
811,garabatos,Jerga,dibujos,Dibujos de los niños pequeños,https://jergozo.com/diccionario-peruano
812,garañón,Jerga,Caballo semental,Caballo semental.,https://jergozo.com/diccionario-peruano
813,garchar,Jerga,tener sexo,Haces sexo o hacer el amor con una mujer,https://jergozo.com/diccionario-peruano
814,garganta de lata,Jerga,de voz gruesa,Ronco,https://jergozo.com/diccionario-peruano
815,gaseosa,Jerga,bebida,"Bebida refrescante con gas. Conocida en otros países como ""refresco"".",https://jergozo.com/diccionario-peruano
816,gasfitería,Jerga,taller,"Fontanería, taller del gasfitero.",https://jergozo.com/diccionario-peruano
817,gata,Jerga,Gato de coche,Gato de coche.,https://jergozo.com/diccionario-peruano
818,gatera,Jerga,revendedora,Revendedora. Verdulera.,https://jergozo.com/diccionario-peruano
819,gauchada,Jerga,favor,"Paleteada, segunda, favor, servicio. A veces se dice 'cauchada'. Originalmente esta voz se refería a la acción propia del gaucho.",https://jergozo.com/diccionario-peruano
820,gentita,Jerga,de alta sociedad,Personas de alto nivel socioeconómico,https://jergozo.com/diccionario-peruano
821,gilear,Jerga,enamorar,"Enamorar , coquetear",https://jergozo.com/diccionario-peruano
822,gilero,Jerga,conquistador,"Persona que se aventura a conseguir nuevos amores, conquistador, galan",https://jergozo.com/diccionario-peruano
823,gilipollón,Jerga,maleducado,Persona inculta o escasa de conocimientos.,https://jergozo.com/diccionario-peruano
824,gofi,Jerga,suegra,"Descripcion criolla muy antigua que significa suegra desagradable o vieja desagradable, mala, perversa, etc",https://jergozo.com/diccionario-peruano
825,golo golo,Jerga,felación,El sexo oral que practica una mujer a un hombre,https://jergozo.com/diccionario-peruano
826,gomear,Jerga,golpear,Golpear,https://jergozo.com/diccionario-peruano
827,gorra,Jerga,sinvergüenza,"Gorra o gorrero. En Perú es cuando la persona es sinvergüenza, que le gusta beber, comer etc y sin poner nada de dinero.",https://jergozo.com/diccionario-peruano
